nflId,num_snaps,estimate,height,weight,birthDate,collegeName,officialPosition,displayName
29550,186,1.39410363691529,6-4,328,1982-01-22,Arkansas,T,Jason Peters
30842,17,1.5185004484798,6-6,267,1984-05-19,UCLA,TE,Marcedes Lewis
30869,217,-0.527701264890986,6-7,330,1981-12-12,Louisiana State,T,Andrew Whitworth
33107,205,-0.415494171777972,6-4,315,1985-08-30,Virginia Tech,T,Duane Brown
33131,193,3.00163889203984,6-8,300,1986-09-01,Miami,DE,Calais Campbell
34465,22,6.28902840679491,6-0,204,1987-12-20,Ohio State,SS,Malcolm Jenkins
34540,12,1.06257849902927,6-5,254,1987-04-07,South Carolina,TE,Jared Cook
34654,4,4.64687860219855,5-11,195,1987-08-13,Rutgers,FS,Jason McCourty
34777,53,4.92674101864676,6-3,310,1986-01-03,Troy,NT,Steve McLendon
35441,180,4.93552919995748,6-4,313,1987-01-06,Nebraska,DE,Ndamukong Suh
35442,5,2.86472243469463,6-4,300,1988-02-25,Oklahoma,DT,Gerald McCoy
35449,36,8.49589150795064,6-3,304,1987-05-12,California,DE,Tyson Alualu
35452,29,8.58449513519993,6-2,265,1988-04-03,Michigan,DE,Brandon Graham
35454,150,2.57791662353415,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul
35459,2,7.38013796158734,5-10,185,1988-04-10,Alabama,SS,Kareem Jackson
35466,4,8.25313006279684,5-10,195,1987-08-13,Rutgers,FS,Devin McCourty
35470,112,3.81992507467967,6-2,254,1988-08-13,Texas Christian,DE,Jerry Hughes
35481,14,-0.0506137350354257,6-6,265,1989-05-14,Arizona,TE,Rob Gronkowski
35485,93,7.10707956352492,6-4,329,1988-10-10,East Carolina,NT,Linval Joseph
35493,128,4.21343016623532,6-6,285,1989-02-28,Florida,OLB,Carlos Dunlap
35522,36,8.34526618951554,6-3,335,1988-06-08,Kentucky,DT,Corey Peters
35534,4,-1.83263497874448,6-7,265,1986-11-24,Miami,TE,Jimmy Graham
35539,128,2.31172671520344,6-3,273,1987-12-22,Southern California,DE,Everson Griffen
35562,119,5.03869127872755,6-4,330,1987-03-25,Louisiana State,DT,Al Woods
37075,160,3.14525918625432,6-3,250,1989-03-26,Texas A&amp;M,OLB,Von Miller
37082,209,-0.0655911721479339,6-5,320,1990-12-12,Southern California,T,Tyron Smith
37084,188,8.17535046681415,6-5,288,1989-03-22,Wisconsin,DE,J.J. Watt
37087,123,5.05271757636572,6-4,257,1990-05-18,North Carolina,OLB,Robert Quinn
37089,68,4.40426660103345,6-4,265,1988-08-16,Purdue,DE,Ryan Kerrigan
37090,247,-0.668285961017289,6-8,325,1988-04-12,Colorado,T,Nate Solder
37097,196,2.94838122824553,6-4,287,1989-07-10,California,DE,Cameron Jordan
37100,2,7.01260878042113,6-2,210,1988-07-26,Colorado,CB,Jimmy Smith
37101,11,-1.41124651272185,5-9,215,1989-12-21,Alabama,RB,Mark Ingram
37104,174,4.70595582179101,6-5,295,1989-05-06,Ohio State,DT,Cameron Heyward
37112,6,7.54190376937023,6-3,268,1989-05-10,Pittsburgh,DE,Jabaal Sheard
37118,39,-0.270510650828442,6-6,265,1989-11-09,Notre Dame,TE,Kyle Rudolph
37130,143,1.42483621208738,6-2,315,1989-07-12,Florida State,C,Rodney Hudson
37145,138,8.26121939853135,6-3,270,1989-01-21,Georgia,OLB,Justin Houston
37179,3,0.655407706445578,6-5,253,1988-07-17,Tennessee,TE,Luke Stocker
37213,106,0.326041078213385,6-6,335,1988-05-06,Texas Christian,T,Marcus Cannon
37229,4,6.80455227681718,6-3,195,1988-03-30,Stanford,CB,Richard Sherman
