nflId,snaps_played,Position,Name,height,weight,xSTRAIN
25511,270,QB,Tom Brady,6-4,225,0.15799527077
28963,209,QB,Ben Roethlisberger,6-5,240,-0.023904483297
29550,186,T,Jason Peters,6-4,328,-0.440273881
29851,199,QB,Aaron Rodgers,6-2,225,0.293514952
30842,63,TE,Marcedes Lewis,6-6,267,-0.125352023924
30869,217,T,Andrew Whitworth,6-7,330,-0.274851639
33084,254,QB,Matt Ryan,6-4,217,0.0634802731891
33107,205,T,Duane Brown,6-4,315,-0.24739821016
33131,193,DE,Calais Campbell,6-8,300,-0.0060628421053
33138,17,QB,Chad Henne,6-3,222,0.016252990345
34452,220,QB,Matthew Stafford,6-3,220,0.487233149
34465,233,SS,Malcolm Jenkins,6-0,204,0.11592172249
34540,178,TE,Jared Cook,6-5,254,0.184811183588
34654,173,FS,Jason McCourty,5-11,195,0.756457672968
34777,54,NT,Steve McLendon,6-3,310,0.2540807737584
34843,3,QB,Brian Hoyer,6-2,215,-0.096298814416
35441,185,DE,Ndamukong Suh,6-4,313,0.22374523051
35442,5,DT,Gerald McCoy,6-4,300,0.21797254202
35449,36,DE,Tyson Alualu,6-3,304,-0.0482238114735
35452,29,DE,Brandon Graham,6-2,265,0.153395233424
35454,172,DE,Jason Pierre-Paul,6-5,275,0.1924711226
35459,219,SS,Kareem Jackson,5-10,185,-0.02384763865
35466,212,FS,Devin McCourty,5-10,195,0.298920488482
35470,116,DE,Jerry Hughes,6-2,254,0.0610378630049
35481,94,TE,Rob Gronkowski,6-6,265,-0.279835152378
35485,93,NT,Linval Joseph,6-4,329,0.227589120365
35493,143,OLB,Carlos Dunlap,6-6,285,-0.108298817534
35522,39,DT,Corey Peters,6-3,335,0.05605127624
35534,50,TE,Jimmy Graham,6-7,265,-0.46328626205
35539,132,DE,Everson Griffen,6-3,273,0.046504417746
35562,119,DT,Al Woods,6-4,330,0.253907560562
37075,174,OLB,Von Miller,6-3,250,0.23620046459
37082,209,T,Tyron Smith,6-5,320,-0.205956619475
37083,3,QB,Blaine Gabbert,6-4,235,-0.04626922351
37084,192,DE,J.J. Watt,6-5,288,0.490262593
37087,141,OLB,Robert Quinn,6-4,257,0.27078806054
37089,70,DE,Ryan Kerrigan,6-4,265,0.03290809562
37090,247,T,Nate Solder,6-8,325,-0.39929500099
37097,196,DE,Cameron Jordan,6-4,287,0.172656049641
